Reaction identifier	Equation	Enzyme class	Enzymes
RHEA:28903	D-alanine(in) + H(+)(in) = D-alanine(out) + H(+)(out)		9
RHEA:28907	3-(3-hydroxyphenyl)propanoate(in) + H(+)(in) = 3-(3-hydroxyphenyl)propanoate(out) + H(+)(out)		1
RHEA:28911	L-lysine(out) + H(+)(out) = L-lysine(in) + H(+)(in)		2
RHEA:28915	4-aminobutanoate(in) + H(+)(in) = 4-aminobutanoate(out) + H(+)(out)		8
RHEA:28919	4-aminobutanoate(in) + L-glutamate(out) = 4-aminobutanoate(out) + L-glutamate(in)		460
RHEA:28923	L-phenylalanine(in) + H(+)(in) = L-phenylalanine(out) + H(+)(out)		1643
RHEA:28939	xanthosine(in) + H(+)(in) = xanthosine(out) + H(+)(out)		2
RHEA:28943	glycine betaine(in) = glycine betaine(out)		1
RHEA:28947	L-arabinose(in) + H(+)(out) = L-arabinose(out) + H(+)(in)		0
RHEA:28951	L-arabinose(in) + H(+)(in) = L-arabinose(out) + H(+)(out)		4
RHEA:28955	aldehydo-D-glucuronate(in) + H(+)(in) = aldehydo-D-glucuronate(out) + H(+)(out)		271
RHEA:28959	D-xylose(in) + H(+)(in) = D-xylose(out) + H(+)(out)		1485
RHEA:28963	L-proline(out) + H(+)(out) = L-proline(in) + H(+)(in)		6
RHEA:28967	L-proline(in) + Na(+)(in) = L-proline(out) + Na(+)(out)		30704
RHEA:28971	shikimate(in) + H(+)(in) = shikimate(out) + H(+)(out)		2
RHEA:28975	L-asparagine(in) + H(+)(out) = L-asparagine(out) + H(+)(in)		0
RHEA:28979	nitrite(in) + H(+)(out) = nitrite(out) + H(+)(in)		0
RHEA:28983	nitrite(in) = nitrite(out)		0
RHEA:28987	N-acetylneuraminate(in) + H(+)(in) = N-acetylneuraminate(out) + H(+)(out)		3481
RHEA:28991	N-acetylneuraminate(in) = N-acetylneuraminate(out)		49
RHEA:28995	L-threonine(in) + H(+)(out) = L-threonine(out) + H(+)(in)		2
RHEA:28999	homoserine lactone(in) + H(+)(out) = homoserine lactone(out) + H(+)(in)		0
RHEA:29003	L-homoserine(in) + H(+)(out) = L-homoserine(out) + H(+)(in)		0
RHEA:29007	Mn(2+)(in) + H(+)(in) = Mn(2+)(out) + H(+)(out)		3
RHEA:29011	2-oxoglutarate(in) + H(+)(in) = 2-oxoglutarate(out) + H(+)(out)		0
RHEA:29015	sn-glycerol 3-phosphate(in) + phosphate(out) = sn-glycerol 3-phosphate(out) + phosphate(in)		0
RHEA:29019	D-galactose(in) + H(+)(in) = D-galactose(out) + H(+)(out)		564
RHEA:29023	L-fucose(in) + H(+)(in) = L-fucose(out) + H(+)(out)		2
RHEA:29027	L-glutamate(in) + 2 H(+)(in) = L-glutamate(out) + 2 H(+)(out)		0
RHEA:29031	L-glutamate(in) + 2 Na(+)(in) = L-glutamate(out) + 2 Na(+)(out)		0
