Reaction identifier	Equation	Enzyme class	Enzymes
RHEA:34943	hydroquinone O-beta-D-glucopyranoside(out) + phosphoenolpyruvate(in) = arbutin 6-phosphate(in) + pyruvate(in)		0
RHEA:34951	3-hydroxypropanoate(out) = 3-hydroxypropanoate(in)		0
RHEA:34955	5-(methylsulfanyl)-D-ribose(in) = 5-(methylsulfanyl)-D-ribose(out)		0
RHEA:34959	(R)-carnitine(in) = (R)-carnitine(out)		799
RHEA:34963	Na(+)(in) = Na(+)(out)		67185
RHEA:34967	sn-glycerol 3-phosphate(in) = sn-glycerol 3-phosphate(out)		0
RHEA:34971	Fe(3+)(in) = Fe(3+)(out)		3
RHEA:34975	(R)-pantothenate(in) = (R)-pantothenate(out)		0
RHEA:34979	H(+)(in) = H(+)(out)		30396
RHEA:34983	sulfate(in) = sulfate(out)		1987
RHEA:34987	(S)-lactate(in) = (S)-lactate(out)		3
RHEA:34991	L-ornithine(in) + L-arginine(out) = L-ornithine(out) + L-arginine(in)		2585
RHEA:34995	L-rhamnose(in) = L-rhamnose(out)		0
RHEA:34999	ADP(in) + ATP(out) = ADP(out) + ATP(in)		12842
RHEA:35003	L-fucose(in) = L-fucose(out)		0
RHEA:35007	D-fucose(in) = D-fucose(out)		0
RHEA:35011	D-fucose(in) + H(+)(in) = D-fucose(out) + H(+)(out)		2
RHEA:35015	riboflavin(in) = riboflavin(out)		3705
RHEA:35019	L-threonine(in) = L-threonine(out)		2
RHEA:35023	hydroquinone O-beta-D-glucopyranoside(out) = hydroquinone O-beta-D-glucopyranoside(in)		0
RHEA:35027	tungstate(in) + ATP + H2O = tungstate(out) + ADP + phosphate + H(+)	EC:7.3.2.6 ABC-type tungstate transporter	5434
RHEA:35031	L-serine(in) = L-serine(out)		2302
RHEA:35035	4-aminobutanoate(in) = 4-aminobutanoate(out)		7
RHEA:35039	spermidine(in) = spermidine(out)		2331
RHEA:35043	N-(4-aminobenzoyl)-L-glutamate(in) = N-(4-aminobenzoyl)-L-glutamate(out)		0
RHEA:35051	N,N'-diacetylchitobiose(out) = N,N'-diacetylchitobiose(in)		0
RHEA:35059	chloramphenicol(in) + H(+)(out) = chloramphenicol(out) + H(+)(in)		0
RHEA:35067	(S)-carnitine(out) = (S)-carnitine(in)		0
RHEA:35071	4-methylphenol(in) = 4-methylphenol(out)		0
RHEA:35075	doxorubicin(in) + H(+)(out) = doxorubicin(out) + H(+)(in)		0
RHEA:35079	doxorubicin(in) = doxorubicin(out)		0
RHEA:35099	fusidate(in) + H(+)(out) = fusidate(out) + H(+)(in)		0
RHEA:35103	fusidate(in) = fusidate(out)		0
RHEA:35123	L-alanyl-D-glutamate(out) + H(+)(out) = L-alanyl-D-glutamate(in) + H(+)(in)		0
RHEA:35127	L-alanyl-D-glutamate(out) = L-alanyl-D-glutamate(in)		0
RHEA:35131	L-alanyl-L-glutamate(out) + H(+)(out) = L-alanyl-L-glutamate(in) + H(+)(in)		0
RHEA:35135	L-alanyl-L-glutamate(out) = L-alanyl-L-glutamate(in)		0
RHEA:35147	(2R,4S)-2-methyltetrahydrofuran-2,3,3,4-tetrol(in) = (2R,4S)-2-methyltetrahydrofuran-2,3,3,4-tetrol(out)		2
RHEA:35163	minocycline(in) + H(+)(out) = minocycline(out) + H(+)(in)		0
RHEA:35167	minocycline(in) = minocycline(out)		0
RHEA:35171	novobiocin(in) + H(+)(out) = novobiocin(out) + H(+)(in)		0
RHEA:35175	novobiocin(in) = novobiocin(out)		0
RHEA:35195	L-quinate(in) = L-quinate(out)		0
RHEA:35199	(S,S)-tartrate(out) = (S,S)-tartrate(in)		0
RHEA:35227	rifampicin(in) + H(+)(out) = rifampicin(out) + H(+)(in)		0
RHEA:35231	rifampicin(in) = rifampicin(out)		0
RHEA:35235	tetracycline(in) + H(+)(out) = tetracycline(out) + H(+)(in)		0
RHEA:35239	tetracycline(in) = tetracycline(out)		0
RHEA:35247	alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA (E. coli)(in) + ATP + H2O = alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA (E. coli)(out) + ADP + phosphate + H(+)		0
RHEA:35251	alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid A (E. coli)(in) + ATP + H2O = alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid A (E. coli)(out) + ADP + phosphate + H(+)		0
RHEA:35255	lipid A-core(in) + ATP + H2O = lipid A-core(out) + ADP + phosphate + H(+)		0
RHEA:35259	7-O-[2-aminoethoxy(hydroxy)phosphoryl]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid A(in) + ATP + H2O = 7-O-[2-aminoethoxy(hydroxy)phosphoryl]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid A(out) + ADP + phosphate + H(+)		0
RHEA:35267	ethanol(in) = ethanol(out)		0
RHEA:35287	chloramphenicol(in) + ATP + H2O = chloramphenicol(out) + ADP + phosphate + H(+)		1
RHEA:35375	(beta-L-Ara4N)2-(Kdo)2-lipid A(in) + ATP + H2O = (beta-L-Ara4N)2-(Kdo)2-lipid A(out) + ADP + phosphate + H(+)		0
RHEA:36435	a 1,2-diacyl-sn-glycero-3-phosphate(in) = a 1,2-diacyl-sn-glycero-3-phosphate(out)		2467
RHEA:36439	a 1,2-diacyl-sn-glycero-3-phosphoethanolamine(in) + ATP + H2O = a 1,2-diacyl-sn-glycero-3-phosphoethanolamine(out) + ADP + phosphate + H(+)		575
RHEA:36447	glycyl-L-proline(out) + ATP + H2O = glycyl-L-proline(in) + ADP + phosphate + H(+)		0
RHEA:36451	glycyl-L-glutamate(out) + ATP + H2O = glycyl-L-glutamate(in) + ADP + phosphate + H(+)		0
RHEA:36455	L-alanylglycine(out) + ATP + H2O = L-alanylglycine(in) + ADP + phosphate + H(+)		0
RHEA:36471	3,4,5-trihydroxybenzoate(out) + H(+)(out) = 3,4,5-trihydroxybenzoate(in) + H(+)(in)		0
RHEA:36831	2 caldariellaquinol + O2 + n H(+)(in) = 2 caldariellaquinone + 2 H2O + n H(+)(out)	EC:7.1.1.4 caldariellaquinol oxidase (H(+)-transporting)	0
RHEA:37043	L-alanyl-L-glutamate(out) + ATP + H2O = L-alanyl-L-glutamate(in) + ADP + phosphate + H(+)		0
RHEA:37047	L-histidine(out) + H(+)(out) = L-histidine(in) + H(+)(in)		0
RHEA:37263	L-alanyl-L-aspartate(out) + ATP + H2O = L-alanyl-L-aspartate(in) + ADP + phosphate + H(+)		0
RHEA:37271	L-alanyl-L-glutamine(out) + ATP + H2O = L-alanyl-L-glutamine(in) + ADP + phosphate + H(+)		0
RHEA:37279	L-alanyl-L-histidine(out) + ATP + H2O = L-alanyl-L-histidine(in) + ADP + phosphate + H(+)		0
RHEA:37287	L-alanyl-L-leucine(out) + ATP + H2O = L-alanyl-L-leucine(in) + ADP + phosphate + H(+)		0
RHEA:37295	L-alanyl-L-threonine(out) + ATP + H2O = L-alanyl-L-threonine(in) + ADP + phosphate + H(+)		0
RHEA:37303	glycyl-L-asparagine(out) + ATP + H2O = glycyl-L-asparagine(in) + ADP + phosphate + H(+)		0
RHEA:37311	glycyl-L-glutamine(out) + ATP + H2O = glycyl-L-glutamine(in) + ADP + phosphate + H(+)		0
RHEA:37319	glycyl-L-methionine(out) + ATP + H2O = glycyl-L-methionine(in) + ADP + phosphate + H(+)		0
RHEA:37327	L-methionyl-L-alanine(out) + ATP + H2O = L-methionyl-L-alanine(in) + ADP + phosphate + H(+)		0
RHEA:37359	D-glucosamine(out) + N(pros)-phospho-L-histidyl-[protein] = D-glucosamine 6-phosphate(in) + L-histidyl-[protein]		2
RHEA:38567	a 1,2-diacyl-sn-glycero-3-phospho-L-serine(out) + ATP + H2O = a 1,2-diacyl-sn-glycero-3-phospho-L-serine(in) + ADP + phosphate + H(+)		14183
RHEA:38571	a 1,2-diacyl-sn-glycero-3-phosphocholine(in) = a 1,2-diacyl-sn-glycero-3-phosphocholine(out)		14515
RHEA:38583	a 1,2-diacyl-sn-glycero-3-phosphocholine(out) + ATP + H2O = a 1,2-diacyl-sn-glycero-3-phosphocholine(in) + ADP + phosphate + H(+)		2829
RHEA:38663	a 1,2-diacyl-sn-glycero-3-phospho-L-serine(in) = a 1,2-diacyl-sn-glycero-3-phospho-L-serine(out)		15491
RHEA:38667	sphing-4-enine 1-phosphate(in) = sphing-4-enine 1-phosphate(out)		397
RHEA:38671	sphinganine 1-phosphate(in) = sphinganine 1-phosphate(out)		397
RHEA:38679	sphinganine(in) + ATP + H2O = sphinganine(out) + ADP + phosphate + H(+)		0
RHEA:38683	sphing-4-enine(in) + ATP + H2O = sphing-4-enine(out) + ADP + phosphate + H(+)		0
RHEA:38687	(4R)-hydroxysphinganine(in) + ATP + H2O = (4R)-hydroxysphinganine(out) + ADP + phosphate + H(+)		0
RHEA:38691	a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol)(in) = a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol)(out)		9626
RHEA:38695	a cardiolipin(in) = a cardiolipin(out)		4
RHEA:38715	choline(out) + ATP + H2O = choline(in) + ADP + phosphate + H(+)		0
RHEA:38719	(R)-carnitine(out) + ATP + H2O = (R)-carnitine(in) + ADP + phosphate + H(+)		0
RHEA:38879	a fatty acid(in) = a fatty acid(out)		2032
RHEA:38895	a 1,2-diacyl-sn-glycero-3-phosphoethanolamine(in) = a 1,2-diacyl-sn-glycero-3-phosphoethanolamine(out)		13455
RHEA:38899	a beta-D-galactosyl-(1<->1')-N-acylsphing-4-enine(out) = a beta-D-galactosyl-(1<->1')-N-acylsphing-4-enine(in)		12
RHEA:38903	a sphingomyelin(in) + ATP + H2O = a sphingomyelin(out) + ADP + phosphate + H(+)		352
RHEA:38923	a ubiquinone + Na(+)(in) + NADH + H(+) = a ubiquinol + Na(+)(out) + NAD(+)		0
RHEA:38943	a beta-D-glucosyl-(1<->1')-N-acylsphing-4-enine(in) + ATP + H2O = a beta-D-glucosyl-(1<->1')-N-acylsphing-4-enine(out) + ADP + phosphate + H(+)		5
RHEA:38951	sphing-4-enine 1-phosphate(in) + ATP + H2O = sphing-4-enine 1-phosphate(out) + ADP + phosphate + H(+)		2891
RHEA:38955	an N-acylsphing-4-enine 1-phosphate(in) = an N-acylsphing-4-enine 1-phosphate(out)		0
RHEA:38963	leukotriene C4(in) + ATP + H2O = leukotriene C4(out) + ADP + phosphate + H(+)		12903
RHEA:38967	an N-acylsphing-4-enine(in) + ATP + H2O = an N-acylsphing-4-enine(out) + ADP + phosphate + H(+)		0
RHEA:39007	a cholesterol ester(in) = a cholesterol ester(out)		262
RHEA:39011	a triacyl-sn-glycerol(in) = a triacyl-sn-glycerol(out)		847
RHEA:39051	cholesterol(in) + ATP + H2O = cholesterol(out) + ADP + phosphate + H(+)		2959
RHEA:39103	sitosterol(in) + ATP + H2O = sitosterol(out) + ADP + phosphate + H(+)		207
RHEA:39279	dodecanoate(out) + ATP + H2O = dodecanoate(in) + ADP + phosphate + H(+)		0
RHEA:39283	a long-chain fatty acid(out) = a long-chain fatty acid(in)		719
RHEA:39707	a long-chain fatty acyl-CoA(out) = a long-chain fatty acyl-CoA(in)		0
RHEA:39723	a 1,2-diacyl-sn-glycerol(in) = a 1,2-diacyl-sn-glycerol(out)		2
RHEA:39727	a sphingomyelin(in) = a sphingomyelin(out)		4
RHEA:39743	a 1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol)(in) = a 1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol)(out)		5
RHEA:39747	cholesterol(in) = cholesterol(out)		6702
RHEA:39795	7beta-hydroxycholesterol(in) + ATP + H2O = 7beta-hydroxycholesterol(out) + ADP + phosphate + H(+)		2
RHEA:39807	octadecanoate(in) = octadecanoate(out)		0
RHEA:40527	2 a ubiquinol + O2(in) + 4 H(+)(in) = 2 a ubiquinone + 2 H2O(in) + 4 H(+)(out)	EC:7.1.1.7 ubiquinol oxidase (electrogenic, proton-motive force generating)	11
RHEA:42400	lactose(out) + N(pros)-phospho-L-histidyl-[protein] = lactose 6-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.207 protein-N(pi)-phosphohistidine--lactose phosphotransferase	1251
RHEA:42436	N(pros)-phospho-L-histidyl-[protein] + L-ascorbate(out) = L-ascorbate 6-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.194 protein-N(pi)-phosphohistidine--L-ascorbate phosphotransferase	678
RHEA:42484	D-sorbitol(out) + N(pros)-phospho-L-histidyl-[protein] = D-sorbitol 6-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.198 protein-N(pi)-phosphohistidine--D-sorbitol phosphotransferase	3
RHEA:42608	a plastoquinone + NADH + (n+1) H(+)(in) = a plastoquinol + NAD(+) + n H(+)(out)		168645
RHEA:42612	a plastoquinone + NADPH + (n+1) H(+)(in) = a plastoquinol + NADP(+) + n H(+)(out)		168645
RHEA:43336	N(6)-carboxybiotinyl-L-lysyl-[protein] + n Na(+)(in) + H(+) = N(6)-biotinyl-L-lysyl-[protein] + n Na(+)(out) + CO2	EC:7.2.4.1 carboxybiotin decarboxylase	58
RHEA:43348	cholesteryl (9Z-octadecenoate)(in) = cholesteryl (9Z-octadecenoate)(out)		670
RHEA:43352	1,2,3-tri-(9Z-octadecenoyl)-glycerol(in) = 1,2,3-tri-(9Z-octadecenoyl)-glycerol(out)		670
RHEA:43356	cholesteryl (9Z,12Z)-octadecadienoate(in) = cholesteryl (9Z,12Z)-octadecadienoate(out)		670
RHEA:43776	an N-(acyl)-sphingosylphosphocholine(in) = an N-(acyl)-sphingosylphosphocholine(out)		1519
RHEA:43856	1-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine(in) + Na(+)(in) = 1-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine(out) + Na(+)(out)		1665
RHEA:43860	1-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine(in) + Na(+)(in) = 1-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine(out) + Na(+)(out)		1665
RHEA:43864	1-hexadecanoyl-sn-glycero-3-phosphocholine(in) + Na(+)(in) = 1-hexadecanoyl-sn-glycero-3-phosphocholine(out) + Na(+)(out)		1665
RHEA:43868	a 1-acyl-sn-glycero-3-phosphoethanolamine(in) + Na(+)(in) = a 1-acyl-sn-glycero-3-phosphoethanolamine(out) + Na(+)(out)		1665
RHEA:44376	a 1-acyl-sn-glycero-3-phosphocholine(in) + Na(+)(in) = a 1-acyl-sn-glycero-3-phosphocholine(out) + Na(+)(out)		1665
RHEA:44544	a fatty acid(out) + ATP + H2O = a fatty acid(in) + ADP + phosphate + H(+)		0
RHEA:45248	butanoate(out) = butanoate(in)		1436
RHEA:45252	tetradecanoate(out) = tetradecanoate(in)		1436
RHEA:45256	hexadecanoate(out) = hexadecanoate(in)		3092
RHEA:45260	tetracosanoate(out) = tetracosanoate(in)		1436
RHEA:45264	(9Z,12Z)-octadecadienoate(out) = (9Z,12Z)-octadecadienoate(in)		3092
RHEA:45680	N-(hexadecanoyl)-sphing-4-enine-1-phosphate(in) = N-(hexadecanoyl)-sphing-4-enine-1-phosphate(out)		699
RHEA:45684	N-dodecanoyl-sphing-4-enine-1-phosphate(in) = N-dodecanoyl-sphing-4-enine-1-phosphate(out)		0
RHEA:45688	N-(9Z-octadecenoyl)-sphing-4-enine-1-phosphate(in) = N-(9Z-octadecenoyl)-sphing-4-enine-1-phosphate(out)		699
RHEA:45692	N-(octanoyl)-sphing-4-enine-1-phosphate(in) = N-(octanoyl)-sphing-4-enine-1-phosphate(out)		0
RHEA:45696	N-(acetyl)-sphing-4-enine-1-phosphate(in) = N-(acetyl)-sphing-4-enine-1-phosphate(out)		0
RHEA:45720	N-hexadecanoylsphing-4-enine(in) = N-hexadecanoylsphing-4-enine(out)		2147
RHEA:45956	(9Z)-octadecenoyl-CoA(in) = (9Z)-octadecenoyl-CoA(out)		1
RHEA:46468	an N-(acyl)-sphingosylphosphocholine(in) + ATP + H2O = an N-(acyl)-sphingosylphosphocholine(out) + ADP + phosphate + H(+)		2
RHEA:46488	1,2-dihexadecanoyl-sn-glycero-3-phosphocholine(in) = 1,2-dihexadecanoyl-sn-glycero-3-phosphocholine(out)		2
RHEA:46492	1-hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine(in) = 1-hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine(out)		2
RHEA:46496	N-(hexadecanoyl)-sphing-4-enine-1-phosphocholine(in) = N-(hexadecanoyl)-sphing-4-enine-1-phosphocholine(out)		2
RHEA:46800	2 reduced [2Fe-2S]-[ferredoxin] + Na(+)(in) + NAD(+) + H(+) = 2 oxidized [2Fe-2S]-[ferredoxin] + Na(+)(out) + NADH	EC:7.2.1.2 ferredoxin--NAD(+) oxidoreductase (Na(+)-transporting)	6
RHEA:47748	a ubiquinone + n Na(+)(in) + NADH + H(+) = a ubiquinol + n Na(+)(out) + NAD(+)	EC:7.2.1.1 NADH:ubiquinone reductase (Na(+)-transporting)	38954
RHEA:47992	NAD(+) + NADPH + H(+)(in) = NADH + NADP(+) + H(+)(out)	EC:7.1.1.1 proton-translocating NAD(P)(+) transhydrogenase	64269
RHEA:48512	phosphinate(out) + ATP + H2O = phosphinate(in) + ADP + phosphate + H(+)		1
RHEA:48972	phosphite(out) + ATP + H2O = phosphite(in) + ADP + phosphate + H(+)		1
RHEA:49232	D-mannose(out) + N(pros)-phospho-L-histidyl-[protein] = D-mannose 6-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.191 protein-N(pi)-phosphohistidine--D-mannose phosphotransferase	3405
RHEA:49236	N(pros)-phospho-L-histidyl-[protein](out) + sucrose = sucrose 6(G)-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.211 protein-N(pi)-phosphohistidine--sucrose phosphotransferase	4491
RHEA:49240	N(pros)-phospho-L-histidyl-[protein] + N-acetyl-D-glucosamine(out) = N-acetyl-D-glucosamine 6-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.193 protein-N(pi)-phosphohistidine--N-acetyl-D-glucosamine phosphotransferase	4
RHEA:49248	galactitol(out) + N(pros)-phospho-L-histidyl-[protein] = galactitol 1-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.200 protein-N(pi)-phosphohistidine--galactitol phosphotransferase	65
RHEA:49252	D-fructose(out) + N(pros)-phospho-L-histidyl-[protein] = D-fructose 1-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.202 protein-N(pi)-phosphohistidine--D-fructose phosphotransferase	7263
RHEA:49256	2-amino-2-deoxy-D-gluconate(out) + N(pros)-phospho-L-histidyl-[protein] = 2-amino-2-deoxy-D-gluconate 6-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.203 protein-N(pi)-phosphohistidine--D-glucosaminate phosphotransferase	0
RHEA:49260	N(pros)-phospho-L-histidyl-[protein] + D-galactose(out) = D-galactose 6-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.204 protein-N(pi)-phosphohistidine--D-galactose phosphotransferase	1
RHEA:49292	D-cellobiose(out) + N(pros)-phospho-L-histidyl-[protein] = 6-phospho-beta-D-glucosyl-(1->4)-D-glucose(in) + L-histidyl-[protein]	EC:2.7.1.205 protein-N(pi)-phosphohistidine--D-cellobiose phosphotransferase	4
RHEA:49296	keto-L-sorbose(out) + N(pros)-phospho-L-histidyl-[protein] = L-sorbose 1-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.206 protein-N(pi)-phosphohistidine--L-sorbose phosphotransferase	2
RHEA:49300	D-maltose(out) + N(pros)-phospho-L-histidyl-[protein] = alpha-maltose 6'-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.208 protein-N(pi)-phosphohistidine--maltose phosphotransferase	2
RHEA:49484	1-O-hexadecyl-2-acetyl-sn-glycero-3-phosphocholine(in) + ATP + H2O = 1-O-hexadecyl-2-acetyl-sn-glycero-3-phosphocholine(out) + ADP + phosphate + H(+)		0
RHEA:49908	O-acetyl-(R)-carnitine(in) + (R)-carnitine(out) = O-acetyl-(R)-carnitine(out) + (R)-carnitine(in)		593
RHEA:49912	O-propanoyl-(R)-carnitine(in) + (R)-carnitine(out) = O-propanoyl-(R)-carnitine(out) + (R)-carnitine(in)		593
RHEA:49916	O-hexadecanoyl-(R)-carnitine(in) + (R)-carnitine(out) = O-hexadecanoyl-(R)-carnitine(out) + (R)-carnitine(in)		593
RHEA:49920	O-octanoyl-(R)-carnitine(in) + (R)-carnitine(out) = O-octanoyl-(R)-carnitine(out) + (R)-carnitine(in)		593
RHEA:49924	an O-acyl-(R)-carnitine(in) + (R)-carnitine(out) = an O-acyl-(R)-carnitine(out) + (R)-carnitine(in)		593
RHEA:50048	cholate(in) + ATP + H2O = cholate(out) + ADP + phosphate + H(+)		1353
RHEA:50052	taurocholate(in) + ATP + H2O = taurocholate(out) + ADP + phosphate + H(+)		1360
RHEA:50056	glycocholate(in) + ATP + H2O = glycocholate(out) + ADP + phosphate + H(+)		1357
RHEA:50060	glycochenodeoxycholate(in) + ATP + H2O = glycochenodeoxycholate(out) + ADP + phosphate + H(+)		1353
RHEA:50064	taurochenodeoxycholate(in) + ATP + H2O = taurochenodeoxycholate(out) + ADP + phosphate + H(+)		1353
RHEA:50068	glycoursodeoxycholate(in) + ATP + H2O = glycoursodeoxycholate(out) + ADP + phosphate + H(+)		1353
RHEA:50072	tauroursodeoxycholate(in) + ATP + H2O = tauroursodeoxycholate(out) + ADP + phosphate + H(+)		1353
RHEA:50080	taurodeoxycholate(in) + ATP + H2O = taurodeoxycholate(out) + ADP + phosphate + H(+)		5
RHEA:50084	taurolithocholate 3-sulfate(in) + ATP + H2O = taurolithocholate 3-sulfate(out) + ADP + phosphate + H(+)		11
RHEA:50372	an N-acylsphingoid base 1-phosphate(in) = an N-acylsphingoid base 1-phosphate(out)		0
RHEA:50376	a ceramide(in) + ATP + H2O = a ceramide(out) + ADP + phosphate + H(+)		0
RHEA:50976	prostaglandin D2(out) = prostaglandin D2(in)		3
RHEA:50980	prostaglandin E1(out) = prostaglandin E1(in)		5
RHEA:50984	prostaglandin E2(out) = prostaglandin E2(in)		1661
RHEA:50988	prostaglandin F2alpha(out) = prostaglandin F2alpha(in)		983
RHEA:50992	thromboxane B2(out) = thromboxane B2(in)		1
RHEA:51196	serotonin(out) + chloride(out) + Na(+)(out) = serotonin(in) + chloride(in) + Na(+)(in)		0
RHEA:51580	a fatty acid(out) + ATP(in) + CoA(in) + H(+)(out) = a fatty acyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)		0
RHEA:51716	hexadecanoate(out) + ATP(in) + CoA(in) + H(+)(out) = hexadecanoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)		0
RHEA:51720	octadecanoate(out) + ATP(in) + CoA(in) + H(+)(out) = octadecanoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)		0
RHEA:51808	(9Z)-octadecenoate(out) + ATP(in) + CoA(in) + H(+)(out) = (9Z)-octadecenoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)		0
RHEA:51812	tetradecanoate(out) + ATP(in) + CoA(in) + H(+)(out) = tetradecanoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)		0
RHEA:51816	dodecanoate(out) + ATP(in) + CoA(in) + H(+)(out) = dodecanoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)		0
RHEA:51820	decanoate(out) + ATP(in) + CoA(in) + H(+)(out) = decanoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)		0
RHEA:51824	octanoate(out) + ATP(in) + CoA(in) + H(+)(out) = octanoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)		0
RHEA:51828	docosanoate(out) + ATP(in) + CoA(in) + H(+)(out) = docosanoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)		0
RHEA:51832	tetracosanoate(out) + ATP(in) + CoA(in) + H(+)(out) = tetracosanoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)		0
RHEA:51836	(9Z)-tetradecenoate(out) + ATP(in) + CoA(in) + H(+)(out) = (9Z)-tetradecenoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)		0
RHEA:51840	tauroallocholate(out) + 2 Na(+)(out) = tauroallocholate(in) + 2 Na(+)(in)		1459
RHEA:51844	(9Z)-hexadecenoate(out) + ATP(in) + CoA(in) + H(+)(out) = (9Z)-hexadecenoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)		0
RHEA:51852	(9Z,12Z)-octadecadienoate(out) + ATP(in) + CoA(in) + H(+)(out) = (9Z,12Z)-octadecadienoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)		0
RHEA:51856	(E)-hexadec-2-enoate(out) + ATP(in) + CoA(in) + H(+)(out) = (2E)-hexadecenoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)		0
RHEA:52580	Pb(2+)(in) + ATP + H2O = Pb(2+)(out) + ADP + phosphate + H(+)		141
RHEA:53492	5-methyl-5,6,7,8-tetrahydromethanopterin + coenzyme M + 2 Na(+)(in) = 5,6,7,8-tetrahydromethanopterin + methyl-coenzyme M + 2 Na(+)(out)	EC:7.2.1.4 tetrahydromethanopterin S-methyltransferase	2887
RHEA:54988	4 e(-) + O2(in) + 4 H(+)(in) = 2 H2O(in)		0
RHEA:57720	ATP + H2O + 4 H(+)(in) = ADP + phosphate + 5 H(+)(out)	EC:7.1.2.2 H(+)-transporting two-sector ATPase	132536
RHEA:57724	oxaloacetate + 2 Na(+)(in) + H(+) = pyruvate + 2 Na(+)(out) + CO2	EC:7.2.4.2 oxaloacetate decarboxylase (Na(+) extruding)	14847
RHEA:57884	Na(+)(in) + diphosphate + H2O = Na(+)(out) + 2 phosphate + H(+)	EC:7.2.3.1 Na(+)-exporting diphosphatase	8990
RHEA:57888	a quinone + NADH + 5 H(+)(in) = a quinol + NAD(+) + 4 H(+)(out)		322224
RHEA:57892	a quinone + NADPH + 5 H(+)(in) = a quinol + NADP(+) + 4 H(+)(out)		0
RHEA:58156	4 Na(+)(in) + ATP + H2O = 4 Na(+)(out) + ADP + phosphate + H(+)	EC:7.2.2.1 Na(+)-transporting two-sector ATPase	13125
RHEA:58492	Fe(III)-enterobactin(out) + ATP + H2O = Fe(III)-enterobactin(in) + ADP + phosphate + H(+)	EC:7.2.2.17 ABC-type ferric enterobactin transporter	1
RHEA:58792	Fe(III)-petrobactin(out) + ATP + H2O = Fe(III)-petrobactin(in) + ADP + phosphate + H(+)		0
RHEA:58820	malonate + Na(+)(in) + H(+) = acetate + Na(+)(out) + CO2	EC:7.2.4.4 biotin-dependent malonate decarboxylase	0
RHEA:58912	iron(III) dicitrate(out) + ATP + H2O = iron(III) dicitrate(in) + ADP + phosphate + H(+)	EC:7.2.2.18 ABC-type ferric citrate transporter	1
RHEA:60128	17beta-estradiol 17-O-(beta-D-glucuronate)(in) + ATP + H2O = 17beta-estradiol 17-O-(beta-D-glucuronate)(out) + ADP + phosphate + H(+)		8774
RHEA:60156	D-galactose(out) + ATP + H2O = D-galactose(in) + ADP + phosphate + H(+)	EC:7.5.2.11 ABC-type D-galactose transporter	5089
RHEA:60160	vincristine(in) + ATP + H2O = vincristine(out) + ADP + phosphate + H(+)		761
RHEA:60180	D-fructose(out) + ATP + H2O = D-fructose(in) + ADP + phosphate + H(+)		2
RHEA:60184	D-glucose(out) + ATP + H2O = D-glucose(in) + ADP + phosphate + H(+)		2
